ID,,Name,Location,Cat #,Web
445,,Tetrachloroisophthalonitrile,Jeff 607,1897-45-6,sigmaaldrich.com
446,,Tetracycline hydrochloride,Chemical drawer and back -20 663,58346,emdmillipore.com
447,,Thermolysin,Side -20 663,P1512-25MG,sigmaaldrich.com
448,,Thiamine hydrochloride,Chemical cabinet 663,Bp92-100,fishersci.com
449,,Thiamine hydrochloride hydrate,Fume hood 663,T0181,tcichemicals.com
450,,Thiamine pyrophosphate,Side -20 663,C8754-25G,sigmaaldrich.com
451,,Thiamphenicol,Chemical drawer 663,156846 ,mpbio.com
452,DL-,Threonine,Chemical drawer 663,103050,mpbio.com
453,,Thymidine,Chemical drawer Fridge and Back -20 663,T9250-5G,sigmaaldrich.com
454,,Trehalos 6-phosphate dipotassium salt,Side -20 663,T4272-25G,sigmaaldrich.com
455,,Trehalose dihydrate,Chemical drawer 663,625625-50GM,emdmillipore.com
456,,Tricine,Chemical cabinet 663,T5816-1006,sigmaaldrich.com
457,,Tricine buffer,Fridge 607,161-0744,bio-rad.com
458,,Tris base ultrapure,Large chemical cabinet 663,T60040-1000.0,rpicorp.com
459,,Tris hydrochloride,Chemical cabinet 663,15506-017,thermofisher.com
460,,Tris MW=121,Chemical cabinet 663,049-500G,us.vwr.com
461,,Triton-X-100,Chemical cabinet 663,t8787-250ML,sigmaaldrich.com
462,,Trypsin,Back -20 663,T4799-5G,sigmaaldrich.com
463,,Tryptic soy broth,Annie's bench 607,211825,bdbiosciences.com
464,,Trypticase peptone,Chemical cabinet 663,211921,bdbiosciences.com
465,,Tryptone bacto,Chemical cabinet 663,211705,bdbiosciences.com
466,L-(-),Tryptophan,Chemical drawer and fume hood 663,140590251,fishersci.com
467,,Tryptose blood agar base,Chemical cabinet 663,223220,bdbiosciences.com
468,,Tween 20,Chemical cabinet 663 and Nakil's bench 607,0777-1L,us.vwr.com
469,,Tween 80,Chemical cabinet 663,0442-1L,us.vwr.com
470,L-,Tyrosine,Chemical drawer Fume hood and Large chemical cabinet 663,T3754-50G,sigmaaldrich.com
471,,Uracil,Chemical drawer 663,U1128-25G,sigmaaldrich.com
472,,Urea,chemical cabinet 663,8648,mallinckrodt.com
473,,Uridine,Chemical drawer 663,U3003-5G,sigmaaldrich.com
474,Cis-,Vaccenic acid,Side -20 663,103223,mpbio.com
475,L-,Valine,Chemical drawer and fume hood 663,A12770,alfa.com
476,,Vancomycin,Fridge 663,BP2958-1,fishersci.com
477,,Vancomycin hydrochloride,Fridge 663,J62790,alfa.com
478,,Vitamin B12,Frdige 663,V2876-1G,sigmaaldrich.com
479,,Vitamin K1,Fridge 663,V3501-5G,sigmaaldrich.com
480,,Wilkins Chalgren Anaerobic agar,Chemical cabinet 663,CMK0619,thermofisher.com
481,,Xanthine,Chemical drawer 663,X737510,sigmaaldrich.com
482,,X-gal powder,Fridge 663,C-5687-1G,bioexpress.com
483,,Xylan,Chemical drawer 663,X0064,tcichemicals.com
484,,Xylene Cyanole F.F.,Chemical drawer 663,806801,mpbio.com
485,D-(+),Xylose,Chemical cabinet 663,X0019,tcichemicals.com
486,,Yeast extract bacto,Chemical cabinet 663 and Annies' bench 607,BP1422-500,fishersci.com
487,,Yeast nitrogen base without amino acids,Chemical cabinet 663,291940,bdbiosciences.com
488,,Zinc Acetate dihydrate,Chemical cabinet 663,3658-500G,sigmaaldrich.com
489,,Zinc chloride,Chemical cabinet 663,208056-100G,sigmaaldrich.com
490,,Zinc sulfate heptahydrate,Chemical drawer 663,24750-100G,sigmaaldrich.com
